Primary Type,Date,Count
KIDNAPPING,2008-12-31 00:00:00,359
KIDNAPPING,2009-12-31 00:00:00,293
KIDNAPPING,2010-12-31 00:00:00,313
KIDNAPPING,2011-12-31 00:00:00,265
KIDNAPPING,2012-12-31 00:00:00,236
KIDNAPPING,2013-12-31 00:00:00,243
KIDNAPPING,2014-12-31 00:00:00,217
LIQUOR LAW VIOLATION,2003-12-31 00:00:00,783
LIQUOR LAW VIOLATION,2004-12-31 00:00:00,985
LIQUOR LAW VIOLATION,2005-12-31 00:00:00,1005
LIQUOR LAW VIOLATION,2006-12-31 00:00:00,1135
LIQUOR LAW VIOLATION,2007-12-31 00:00:00,1170
LIQUOR LAW VIOLATION,2008-12-31 00:00:00,912
LIQUOR LAW VIOLATION,2009-12-31 00:00:00,746
LIQUOR LAW VIOLATION,2010-12-31 00:00:00,736
LIQUOR LAW VIOLATION,2011-12-31 00:00:00,619
LIQUOR LAW VIOLATION,2012-12-31 00:00:00,573
LIQUOR LAW VIOLATION,2013-12-31 00:00:00,465
LIQUOR LAW VIOLATION,2014-12-31 00:00:00,382
MOTOR VEHICLE THEFT,2003-12-31 00:00:00,15016
MOTOR VEHICLE THEFT,2004-12-31 00:00:00,22805
MOTOR VEHICLE THEFT,2005-12-31 00:00:00,22497
MOTOR VEHICLE THEFT,2006-12-31 00:00:00,21817
MOTOR VEHICLE THEFT,2007-12-31 00:00:00,18573
MOTOR VEHICLE THEFT,2008-12-31 00:00:00,18881
MOTOR VEHICLE THEFT,2009-12-31 00:00:00,15482
MOTOR VEHICLE THEFT,2010-12-31 00:00:00,19028
MOTOR VEHICLE THEFT,2011-12-31 00:00:00,19387
MOTOR VEHICLE THEFT,2012-12-31 00:00:00,16490
MOTOR VEHICLE THEFT,2013-12-31 00:00:00,12598
MOTOR VEHICLE THEFT,2014-12-31 00:00:00,9517
NARCOTICS,2003-12-31 00:00:00,34761
NARCOTICS,2004-12-31 00:00:00,57060
NARCOTICS,2005-12-31 00:00:00,56234
NARCOTICS,2006-12-31 00:00:00,55811
NARCOTICS,2007-12-31 00:00:00,54454
NARCOTICS,2008-12-31 00:00:00,46508
NARCOTICS,2009-12-31 00:00:00,43536
NARCOTICS,2010-12-31 00:00:00,43390
NARCOTICS,2011-12-31 00:00:00,38648
NARCOTICS,2012-12-31 00:00:00,35585
NARCOTICS,2013-12-31 00:00:00,34136
NARCOTICS,2014-12-31 00:00:00,26981
NON - CRIMINAL,2013-12-31 00:00:00,3
NON - CRIMINAL,2014-12-31 00:00:00,10
NON-CRIMINAL,2010-12-31 00:00:00,1
NON-CRIMINAL,2011-12-31 00:00:00,0
NON-CRIMINAL,2012-12-31 00:00:00,6
NON-CRIMINAL,2013-12-31 00:00:00,4
NON-CRIMINAL,2014-12-31 00:00:00,17
NON-CRIMINAL (SUBJECT SPECIFIED),2012-12-31 00:00:00,2
NON-CRIMINAL (SUBJECT SPECIFIED),2013-12-31 00:00:00,0
NON-CRIMINAL (SUBJECT SPECIFIED),2014-12-31 00:00:00,1
OBSCENITY,2003-12-31 00:00:00,11
OBSCENITY,2004-12-31 00:00:00,13
OBSCENITY,2005-12-31 00:00:00,19
OBSCENITY,2006-12-31 00:00:00,17
OBSCENITY,2007-12-31 00:00:00,11
OBSCENITY,2008-12-31 00:00:00,13
OBSCENITY,2009-12-31 00:00:00,20
OBSCENITY,2010-12-31 00:00:00,33
OBSCENITY,2011-12-31 00:00:00,40
OBSCENITY,2012-12-31 00:00:00,26
OBSCENITY,2013-12-31 00:00:00,22
