Primary Type,Date,Count
BURGLARY,2006-09-30 00:00:00,2103
BURGLARY,2006-10-31 00:00:00,2280
BURGLARY,2006-11-30 00:00:00,1990
BURGLARY,2006-12-31 00:00:00,2090
BURGLARY,2007-01-31 00:00:00,1845
BURGLARY,2007-02-28 00:00:00,1339
BURGLARY,2007-03-31 00:00:00,1757
BURGLARY,2007-04-30 00:00:00,1867
BURGLARY,2007-05-31 00:00:00,2233
BURGLARY,2007-06-30 00:00:00,2174
BURGLARY,2007-07-31 00:00:00,2270
BURGLARY,2007-08-31 00:00:00,2378
BURGLARY,2007-09-30 00:00:00,2248
BURGLARY,2007-10-31 00:00:00,2385
BURGLARY,2007-11-30 00:00:00,2323
BURGLARY,2007-12-31 00:00:00,2039
BURGLARY,2008-01-31 00:00:00,1894
BURGLARY,2008-02-29 00:00:00,1560
BURGLARY,2008-03-31 00:00:00,1749
BURGLARY,2008-04-30 00:00:00,1926
BURGLARY,2008-05-31 00:00:00,2260
BURGLARY,2008-06-30 00:00:00,2159
BURGLARY,2008-07-31 00:00:00,2582
BURGLARY,2008-08-31 00:00:00,2397
BURGLARY,2008-09-30 00:00:00,2473
BURGLARY,2008-10-31 00:00:00,2630
BURGLARY,2008-11-30 00:00:00,2348
BURGLARY,2008-12-31 00:00:00,2239
BURGLARY,2009-01-31 00:00:00,1776
BURGLARY,2009-02-28 00:00:00,1551
BURGLARY,2009-03-31 00:00:00,1912
BURGLARY,2009-04-30 00:00:00,2056
BURGLARY,2009-05-31 00:00:00,2197
BURGLARY,2009-06-30 00:00:00,2333
BURGLARY,2009-07-31 00:00:00,2508
BURGLARY,2009-08-31 00:00:00,2660
BURGLARY,2009-09-30 00:00:00,2529
BURGLARY,2009-10-31 00:00:00,2518
BURGLARY,2009-11-30 00:00:00,2400
BURGLARY,2009-12-31 00:00:00,2324
BURGLARY,2010-01-31 00:00:00,1957
BURGLARY,2010-02-28 00:00:00,1479
BURGLARY,2010-03-31 00:00:00,1988
BURGLARY,2010-04-30 00:00:00,1994
BURGLARY,2010-05-31 00:00:00,2248
BURGLARY,2010-06-30 00:00:00,2256
BURGLARY,2010-07-31 00:00:00,2331
BURGLARY,2010-08-31 00:00:00,2707
BURGLARY,2010-09-30 00:00:00,2435
BURGLARY,2010-10-31 00:00:00,2486
BURGLARY,2010-11-30 00:00:00,2415
BURGLARY,2010-12-31 00:00:00,2126
BURGLARY,2011-01-31 00:00:00,1954
BURGLARY,2011-02-28 00:00:00,1427
BURGLARY,2011-03-31 00:00:00,1836
BURGLARY,2011-04-30 00:00:00,2044
BURGLARY,2011-05-31 00:00:00,2468
BURGLARY,2011-06-30 00:00:00,2414
BURGLARY,2011-07-31 00:00:00,2398
BURGLARY,2011-08-31 00:00:00,2613
BURGLARY,2011-09-30 00:00:00,2514
BURGLARY,2011-10-31 00:00:00,2459
BURGLARY,2011-11-30 00:00:00,2293
BURGLARY,2011-12-31 00:00:00,2196
BURGLARY,2012-01-31 00:00:00,1757
BURGLARY,2012-02-29 00:00:00,1396
BURGLARY,2012-03-31 00:00:00,1638
BURGLARY,2012-04-30 00:00:00,1646
BURGLARY,2012-05-31 00:00:00,1924
BURGLARY,2012-06-30 00:00:00,2063
BURGLARY,2012-07-31 00:00:00,2276
BURGLARY,2012-08-31 00:00:00,2219
BURGLARY,2012-09-30 00:00:00,1993
BURGLARY,2012-10-31 00:00:00,2128
BURGLARY,2012-11-30 00:00:00,1992
BURGLARY,2012-12-31 00:00:00,1807
BURGLARY,2013-01-31 00:00:00,1583
BURGLARY,2013-02-28 00:00:00,1171
BURGLARY,2013-03-31 00:00:00,1247
BURGLARY,2013-04-30 00:00:00,1366
BURGLARY,2013-05-31 00:00:00,1563
BURGLARY,2013-06-30 00:00:00,1477
BURGLARY,2013-07-31 00:00:00,1566
BURGLARY,2013-08-31 00:00:00,1770
BURGLARY,2013-09-30 00:00:00,1634
BURGLARY,2013-10-31 00:00:00,1599
BURGLARY,2013-11-30 00:00:00,1476
BURGLARY,2013-12-31 00:00:00,1437
BURGLARY,2014-01-31 00:00:00,1133
BURGLARY,2014-02-28 00:00:00,888
BURGLARY,2014-03-31 00:00:00,1053
BURGLARY,2014-04-30 00:00:00,1124
BURGLARY,2014-05-31 00:00:00,1206
BURGLARY,2014-06-30 00:00:00,1241
BURGLARY,2014-07-31 00:00:00,1394
BURGLARY,2014-08-31 00:00:00,1380
BURGLARY,2014-09-30 00:00:00,1291
BURGLARY,2014-10-31 00:00:00,1351
BURGLARY,2014-11-30 00:00:00,1109
BURGLARY,2014-12-31 00:00:00,516
CONCEALED CARRY LICENSE VIOLATION,2014-02-28 00:00:00,1
CONCEALED CARRY LICENSE VIOLATION,2014-03-31 00:00:00,2
CONCEALED CARRY LICENSE VIOLATION,2014-04-30 00:00:00,2
CONCEALED CARRY LICENSE VIOLATION,2014-05-31 00:00:00,1
CONCEALED CARRY LICENSE VIOLATION,2014-06-30 00:00:00,1
CONCEALED CARRY LICENSE VIOLATION,2014-07-31 00:00:00,2
CONCEALED CARRY LICENSE VIOLATION,2014-08-31 00:00:00,0
CONCEALED CARRY LICENSE VIOLATION,2014-09-30 00:00:00,2
CONCEALED CARRY LICENSE VIOLATION,2014-10-31 00:00:00,3
CRIM SEXUAL ASSAULT,2003-05-31 00:00:00,82
CRIM SEXUAL ASSAULT,2003-06-30 00:00:00,146
CRIM SEXUAL ASSAULT,2003-07-31 00:00:00,134
CRIM SEXUAL ASSAULT,2003-08-31 00:00:00,182
CRIM SEXUAL ASSAULT,2003-09-30 00:00:00,133
CRIM SEXUAL ASSAULT,2003-10-31 00:00:00,129
CRIM SEXUAL ASSAULT,2003-11-30 00:00:00,132
CRIM SEXUAL ASSAULT,2003-12-31 00:00:00,93
CRIM SEXUAL ASSAULT,2004-01-31 00:00:00,150
CRIM SEXUAL ASSAULT,2004-02-29 00:00:00,120
CRIM SEXUAL ASSAULT,2004-03-31 00:00:00,118
CRIM SEXUAL ASSAULT,2004-04-30 00:00:00,122
CRIM SEXUAL ASSAULT,2004-05-31 00:00:00,144
CRIM SEXUAL ASSAULT,2004-06-30 00:00:00,150
CRIM SEXUAL ASSAULT,2004-07-31 00:00:00,142
CRIM SEXUAL ASSAULT,2004-08-31 00:00:00,152
CRIM SEXUAL ASSAULT,2004-09-30 00:00:00,138
CRIM SEXUAL ASSAULT,2004-10-31 00:00:00,109
CRIM SEXUAL ASSAULT,2004-11-30 00:00:00,84
CRIM SEXUAL ASSAULT,2004-12-31 00:00:00,121
CRIM SEXUAL ASSAULT,2005-01-31 00:00:00,127
CRIM SEXUAL ASSAULT,2005-02-28 00:00:00,101
CRIM SEXUAL ASSAULT,2005-03-31 00:00:00,114
CRIM SEXUAL ASSAULT,2005-04-30 00:00:00,106
CRIM SEXUAL ASSAULT,2005-05-31 00:00:00,118
CRIM SEXUAL ASSAULT,2005-06-30 00:00:00,146
CRIM SEXUAL ASSAULT,2005-07-31 00:00:00,157
CRIM SEXUAL ASSAULT,2005-08-31 00:00:00,148
CRIM SEXUAL ASSAULT,2005-09-30 00:00:00,155
CRIM SEXUAL ASSAULT,2005-10-31 00:00:00,137
CRIM SEXUAL ASSAULT,2005-11-30 00:00:00,114
CRIM SEXUAL ASSAULT,2005-12-31 00:00:00,99
CRIM SEXUAL ASSAULT,2006-01-31 00:00:00,120
CRIM SEXUAL ASSAULT,2006-02-28 00:00:00,89
CRIM SEXUAL ASSAULT,2006-03-31 00:00:00,108
CRIM SEXUAL ASSAULT,2006-04-30 00:00:00,123
CRIM SEXUAL ASSAULT,2006-05-31 00:00:00,136
CRIM SEXUAL ASSAULT,2006-06-30 00:00:00,113
CRIM SEXUAL ASSAULT,2006-07-31 00:00:00,175
CRIM SEXUAL ASSAULT,2006-08-31 00:00:00,113
CRIM SEXUAL ASSAULT,2006-09-30 00:00:00,133
